"Date","Turbidity","watershed","DDate"
2014-05-06,33.4,"Githambara(T)",2014-05-06
2014-05-09,115,"Githambara(T)",2014-05-09
2014-05-11,59,"Githambara(T)",2014-05-11
2015-05-06,245,"Githambara(T)",2015-05-06
2015-05-08,75.235,"Githambara(T)",2015-05-08
2015-05-09,36.4,"Githambara(T)",2015-05-09
2015-05-10,42.4,"Githambara(T)",2015-05-10
2015-05-11,554,"Githambara(T)",2015-05-11
2015-05-12,276.721666666667,"Githambara(T)",2015-05-12
2016-05-01,165.58,"Githambara(T)",2016-05-01
2016-05-02,111.886,"Githambara(T)",2016-05-02
2016-05-05,645.992592592593,"Githambara(T)",2016-05-05
2016-05-11,38.9,"Githambara(T)",2016-05-11
2017-05-11,128,"Githambara(T)",2017-05-11
2018-05-02,413,"Githambara(T)",2018-05-02
2018-05-03,230,"Githambara(T)",2018-05-03
2018-05-08,523.133333333333,"Githambara(T)",2018-05-08
2018-05-09,44.4,"Githambara(T)",2018-05-09
2019-05-03,11.09,"Githambara(T)",2019-05-03
2019-05-06,29.6361111111111,"Githambara(T)",2019-05-06
2019-05-10,511.485,"Githambara(T)",2019-05-10
2019-05-12,86.046,"Githambara(T)",2019-05-12
