"Date","Average_by_day_and_year","watershed"
2014-06-17,3.63,"Thika-Valley(C)"
2014-12-11,2.46,"Thika-Valley(C)"
2015-01-13,27.5,"Thika-Valley(C)"
2015-06-04,NA,"Thika-Valley(C)"
2015-06-16,3.32,"Thika-Valley(C)"
2015-07-08,7.42,"Thika-Valley(C)"
2015-07-10,7.43,"Thika-Valley(C)"
2015-08-24,3.56,"Thika-Valley(C)"
2015-09-14,3.74,"Thika-Valley(C)"
2015-09-21,2.99,"Thika-Valley(C)"
2015-10-05,4.98,"Thika-Valley(C)"
2015-10-28,5.3,"Thika-Valley(C)"
2015-11-12,5.64,"Thika-Valley(C)"
2015-11-13,4.14,"Thika-Valley(C)"
2015-12-03,2.4,"Thika-Valley(C)"
2015-12-16,3.64,"Thika-Valley(C)"
2016-01-14,30.8,"Thika-Valley(C)"
2016-01-27,124.804444444444,"Thika-Valley(C)"
2016-02-03,6.15,"Thika-Valley(C)"
2016-02-09,6.19,"Thika-Valley(C)"
2016-02-25,5.27,"Thika-Valley(C)"
2016-04-13,8.72,"Thika-Valley(C)"
2016-04-14,6.91,"Thika-Valley(C)"
2016-04-15,4.56333333333333,"Thika-Valley(C)"
2016-04-16,8.85333333333333,"Thika-Valley(C)"
2016-04-17,440.7,"Thika-Valley(C)"
2016-04-20,8.5,"Thika-Valley(C)"
2016-04-27,5.05,"Thika-Valley(C)"
2016-04-28,155.18,"Thika-Valley(C)"
2016-04-29,78.275,"Thika-Valley(C)"
2016-05-05,4.355,"Thika-Valley(C)"
2016-05-07,19.0925,"Thika-Valley(C)"
2016-05-08,16.65,"Thika-Valley(C)"
2016-05-09,8.484,"Thika-Valley(C)"
2016-05-10,15.2,"Thika-Valley(C)"
2016-05-11,2.41,"Thika-Valley(C)"
2016-05-12,3.08,"Thika-Valley(C)"
2016-05-14,2.034,"Thika-Valley(C)"
2016-05-15,1.99,"Thika-Valley(C)"
2016-05-24,5.11,"Thika-Valley(C)"
2016-11-02,2.7,"Thika-Valley(C)"
2017-03-29,3.2,"Thika-Valley(C)"
2017-11-20,5.1,"Thika-Valley(C)"
2018-03-05,3.24,"Thika-Valley(C)"
2018-04-02,NA,"Thika-Valley(C)"
2018-04-05,3.77,"Thika-Valley(C)"
2018-04-18,NA,"Thika-Valley(C)"
2018-04-19,NA,"Thika-Valley(C)"
2018-04-20,NA,"Thika-Valley(C)"
2018-04-21,NA,"Thika-Valley(C)"
2018-04-23,NA,"Thika-Valley(C)"
2018-04-24,NA,"Thika-Valley(C)"
2018-04-25,NA,"Thika-Valley(C)"
2018-04-30,NA,"Thika-Valley(C)"
2018-05-03,NA,"Thika-Valley(C)"
2018-05-04,NA,"Thika-Valley(C)"
2018-05-08,NA,"Thika-Valley(C)"
2018-05-21,NA,"Thika-Valley(C)"
2018-05-25,NA,"Thika-Valley(C)"
2018-05-28,NA,"Thika-Valley(C)"
2018-08-05,4.98,"Thika-Valley(C)"
2018-08-08,7.1,"Thika-Valley(C)"
2018-09-18,NA,"Thika-Valley(C)"
2019-02-19,5.3,"Thika-Valley(C)"
2019-03-02,7.54,"Thika-Valley(C)"
2019-03-29,7.54,"Thika-Valley(C)"
2019-06-06,2.89909090909091,"Thika-Valley(C)"
2019-06-07,9.73692307692308,"Thika-Valley(C)"
2019-06-08,2.71833333333333,"Thika-Valley(C)"
2019-10-16,4.29,"Thika-Valley(C)"
2019-11-29,23.23,"Thika-Valley(C)"
2019-12-10,0,"Thika-Valley(C)"
2019-12-11,0,"Thika-Valley(C)"
2019-12-17,0,"Thika-Valley(C)"
2019-12-18,0,"Thika-Valley(C)"
2019-12-19,0,"Thika-Valley(C)"
2019-12-20,0,"Thika-Valley(C)"
NA,NA,"Thika-Valley(C)"
